configuration,Nxy,Nz,dx_um,padding,window_um,illumination_NA,theta_deg,phi_deg,continuous_born_scalar,continuous_rytov_scalar,continuous_born_co,continuous_rytov_co,continuous_born_full,continuous_rytov_full,scalar_co,scalar_full,polarization_leakage,voxel_born_scalar,voxel_rytov_scalar,voxel_born_co,voxel_rytov_co,voxel_born_full,voxel_rytov_full,voxel_born_continuous_gap,voxel_rytov_continuous_gap,scalar_norm2,co_norm2,vector_norm2,max_abs_rytov_phase,voxel_volume_error,voxel_seconds
sampling_0p05,1024,0,0.05,0,51.2,0.5,21.9887681072876,90,0.936108542604422,0.11198661333776,0.936483552985704,0.1118262809712,0.936542546974978,0.115724869520676,0.00657557116159735,0.0306848778684549,0.0299726948607911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5932.06558787702,5922.82607697915,5928.15170579379,2.42349345173257,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.05,2.14579781294776,135,0.890839908231632,0.0990361636038048,0.891227646961073,0.0988339635196216,0.891333317451661,0.103319268563579,0.00733258427130952,0.0311348809128045,0.0302599281168053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5383.49091883099,5374.75311238236,5379.679086817,2.38008832673242,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.1,4.294612721817,135,0.892141263004282,0.0994041855213576,0.89251971757679,0.0992049867650018,0.892624131519611,0.103677207507008,0.00731788848118876,0.031142491510768,0.0302713124543835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5398.43753167752,5389.71824980541,5394.6616607373,2.35069697513249,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.15,6.44950021830543,135,0.894253929850411,0.100003603468319,0.894637495316453,0.0998096830867112,0.89473982121344,0.104259576025876,0.00729095999684286,0.0311501693855464,0.0302857014602665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5423.78499773359,5414.99880563037,5419.97013075774,2.3015977936774,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.2,8.61359395458848,135,0.897281131924278,0.100835750584281,0.897662178321025,0.100648332299235,0.897761502913441,0.10506688835049,0.00724834589126848,0.0311569675141527,0.0303029099406615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5459.45310890726,5450.62932346803,5455.63905323311,2.22855777332993,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.25,10.7901483426374,135,0.901208321493437,0.101909238214699,0.901588500732233,0.101731430458086,0.901683921743015,0.106109610307401,0.00719677628619214,0.0311645214405678,0.0303229522136178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5506.18066996353,5497.29573690366,5502.35505019881,2.24922982115769,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.3,12.9825856588502,135,0.906079502471148,0.10326774492165,0.906458585080433,0.103097956471834,0.90654916793991,0.107425807904366,0.00713292876022736,0.0311726780416636,0.0303464007415357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5564.48900664086,5555.51729691563,5560.63811100572,2.31406396245996,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.35,15.1945496629494,135,0.911939330084395,0.10495168786838,0.912317635909365,0.104789863986048,0.912402387981045,0.109055454910905,0.00705326274436508,0.0311770272865599,0.0303694649007905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5635.12290653271,5626.05596264731,5631.24968900374,2.30750001340742,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.4,17.4299682548373,135,0.918850343446732,0.106958997210495,0.919226410094971,0.106803877279269,0.919304307025559,0.110997151018667,0.00696908215999609,0.0311827011036841,0.030394697087026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5719.05163248101,5709.88066597635,5715.16054624196,2.3472608096015,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.45,19.6931284542689,135,0.926878369916629,0.109302249167795,0.927251906684729,0.109163007877456,0.927321851561555,0.113272883471474,0.00687481787291368,0.0311837865903334,0.0304172509211089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5817.53996933755,5808.24067524614,5813.61948921311,2.37399775573011,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.5,21.9887681072876,135,0.936108181403105,0.111979254264049,0.936479142932961,0.111865059935286,0.93653997493839,0.115881346358644,0.00676979262151926,0.0311780979506241,0.0304349495064475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5932.06913126117,5922.62499487397,5928.11612674643,2.42855984753884,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.05,2.14579781294776,180,0.890840029374833,0.0990369074892048,0.89123245619532,0.0988322946323026,0.891338146042694,0.103318684007591,0.00729775440868423,0.0311300906016427,0.0302634118758084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5383.48932181992,5374.73088068608,5379.65797007895,2.38054648340508,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.1,4.294612721817,180,0.892141255984016,0.0994049525527277,0.892516400414904,0.0992081789874624,0.892620942523851,0.103685486613357,0.00732061841364173,0.0311607027910638,0.0302893894259943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5398.43750914897,5389.72190361954,5394.67122915784,2.34891809399324,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.15,6.44950021830543,180,0.89425386320725,0.100002401560884,0.89463870096646,0.0998143415444284,0.89474130667194,0.104275992609575,0.00731746012493209,0.0311967809775323,0.0303272677393284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5423.7857696766,5414.97467810256,5419.95964896346,2.30347262603119,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.2,8.61359395458848,180,0.897280970780395,0.100834021888547,0.897661394401611,0.10065682021738,0.897761208275685,0.105096282435468,0.00729425586825551,0.0312400326612357,0.0303773364488813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5459.45491489857,5450.59758733996,5455.63194940972,2.23214879809032,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.25,10.7901483426374,180,0.901208153641913,0.1019108522067,0.901587472442665,0.101746113038751,0.901683631049913,0.10615676336261,0.0072552453558606,0.0312916745922763,0.0304397616190959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5506.18298287884,5497.25256378608,5502.35092708678,2.2561411610179,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.3,12.9825856588502,180,0.906079551190286,0.103267383001791,0.906457055611549,0.103114370500693,0.906548641417656,0.10748841083731,0.00720320301628203,0.0313515982415953,0.0305136836354389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5564.48854855433,5555.44418060011,5560.62159133728,2.32045854292876,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.35,15.1945496629494,180,0.911939303508034,0.104951760619972,0.912316362855051,0.10480736971159,0.912402395318099,0.109135352638535,0.00714146959109381,0.0314193782054039,0.0305977856534251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5635.12381191993,5625.95585959451,5631.22795309547,2.31599885538996,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.4,17.4299682548373,180,0.91885047449493,0.106959203068974,0.919224007737604,0.106827258516187,0.919303426364422,0.111099822971419,0.00707447552515086,0.0314937626899373,0.0306896728984919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5719.05040482707,5709.7563807285,5715.13921902208,2.36156201299172,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.45,19.6931284542689,180,0.926878170594136,0.109305009761008,0.927248156168638,0.109196784673495,0.927319829083366,0.113404809457557,0.00700760920772665,0.0315765285486174,0.0307898866879782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5817.54297913256,5808.08289890345,5813.59428582828,2.3756440538161,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.5,21.9887681072876,180,0.936108542604429,0.111986613094399,0.936475296256798,0.111916916542291,0.936537968898737,0.116050412997738,0.00693824177356391,0.0316598772420458,0.0308910110731797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5932.06558787702,5922.41793559095,5928.07482805798,2.42349345173257,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.05,2.14579781294776,225,0.890839908231638,0.0990361636274674,0.891227646961068,0.0988339635492003,0.891333317451656,0.103319268591848,0.00733258427130955,0.0311348809128044,0.0302599281168055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5383.49091883099,5374.75311238236,5379.67908681698,2.38008832673242,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.1,4.294612721817,225,0.892141263004272,0.0994041855632907,0.892519717576775,0.0992049867742021,0.892624131519593,0.103677207515803,0.00731788848118868,0.0311424915107675,0.0302713124543831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5398.43753167753,5389.7182498054,5394.6616607373,2.35069697513249,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.15,6.44950021830543,225,0.894253929850403,0.100003603265585,0.894637495316451,0.0998096829260387,0.894739821213448,0.104259575872202,0.00729095999684285,0.0311501693855462,0.0302857014602664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5423.78499773359,5414.99880563037,5419.97013075775,2.3015977936774,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.2,8.61359395458848,225,0.897281131924283,0.100835750673559,0.897662178321024,0.100648332373505,0.897761502913446,0.105066888421573,0.00724834589126847,0.0311569675141528,0.0303029099406618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5459.45310890727,5450.62932346803,5455.63905323311,2.22855777332993,NaN,NaN
